,price_per_sqft,city,county,state,streetAddress,bedrooms,bathrooms,price,livingAreaValue,lotSize_sqft,yearBuilt,zipcode,rentZestimate,zestimate,propertyTaxRate,neighborhoodRegion_name,agentName,agent_businessName,architecture_style,year_built,agency_compensation%
406,782.0,Fremont,Alameda County,CA,4452 Mattos Dr,5.0,2.0,1750000,2238.0,7667.0,1958,94536,3949,1548300,0.81,Glenmoor,Jeff Purcell,Home Buyers Realty,Traditional,1958,2.5
407,1010.0,Fremont,Alameda County,CA,4467 Red Oak Cmn,3.0,3.0,1650000,1633.0,3920.0,1986,94538,3800,1650013,0.81,Grimmer,Jason Huang,"Nihow Real Estate, Inc.",Other,1986,2.5
408,738.0,San Francisco,San Francisco County,CA,45 Galilee Ln APT 4,2.0,1.0,620000,840.0,0.0,0,94115,3549,,0.0,Western Addition,Jana B. Farrell,Coldwell Banker Realty,,0,2.5
409,960.0,San Francisco,San Francisco County,CA,45 Pinehurst Way,3.0,1.0,1698000,1768.0,3105.0,1928,94127,3778,1884700,0.67,Mount Davidson Manor,Alex Sobieski,Redfin,,1928,
410,1190.0,San Francisco,San Francisco County,CA,451 Kansas St UNIT 551,1.0,1.0,819000,688.0,8884.478927203065,2007,94107,3499,813809,0.67,Potrero Hill,Nina Kim,Intero Real Estate Services,,2007,
411,642.0,San Jose,Santa Clara County,CA,4549 Cimarron River Ct,3.0,3.0,925000,1441.0,8884.478927203065,1973,95136,3800,945000,0.77,Blossom Valley,Bonnie Moran,Coldwell Banker Realty,,1973,
412,846.0,Fremont,Alameda County,CA,45630 Montclaire Ter,5.0,5.0,4200000,4962.0,27007.0,2001,94539,9444,,0.81,Mission Hills,Lowell King,REALTY EXPERTS,See Remarks,2001,2.5
413,802.0,Fremont,Alameda County,CA,460 Chenab Ct,5.0,4.0,3650000,4550.0,11761.0,1991,94539,9912,3565473,0.81,Vineyards-Avalon,Surinder Gill,Compass,Contemporary,1991,2.5
414,1071.0,San Francisco,San Francisco County,CA,461 2nd St APT C317,1.0,1.0,695000,649.0,0.0,1907,94107,,,0.67,Rincon Hill,Mac Rogers,KW Advisors,Other,1907,2.5
415,915.0,San Jose,Santa Clara County,CA,4620 Japonica Way,3.0,2.0,1195000,1306.0,8884.478927203065,1972,95129,3699,1232313,0.77,West San Jose,William Lister,Coldwell Banker Realty,Mediterranean,1972,
416,797.0,Fremont,Alameda County,CA,46950 Zapotec Dr,4.0,3.0,3598000,4512.0,11417.0,1986,94539,9461,3533750,0.81,Vineyards-Avalon,Frank Liu,Compass,,1986,
417,1003.0,Fremont,Alameda County,CA,4706 Central Ave,3.0,2.0,1179000,1175.0,5538.0,1953,94536,3399,1128200,0.81,Glenmoor,Shannon A Murphy,Park Avenue Real Estate Group,Ranch,1953,2.5
418,433.0,San Francisco,San Francisco County,CA,474 Valley St,7.0,8.0,2495000,5768.0,2848.0,1910,94131,4500,2534200,0.67,Noe Valley,Michael P. Kramer,Polaris Realty,,1910,2.5
419,914.0,Fremont,Alameda County,CA,47618 Wabana Cmn,5.0,4.0,3200000,3501.0,16988.0,2017,94539,7948,3088300,0.81,Warm Springs,Michelle Chiou,Prestige Realty,Contemporary,2017,2.5
420,921.0,Santa Clara,Santa Clara County,CA,478 N Winchester Blvd APT 9,1.0,1.0,690000,749.0,8884.478927203065,1984,95050,2499,695000,0.77,,Julia Brittner,Coldwell Banker Realty,,1984,
421,648.0,San Francisco,San Francisco County,CA,479 Church St,2.0,0.0,2250000,3470.0,2596.0,1924,94114,3306,,0.67,Mission Dolores,Gino V. Franco,Marcus & Millichap,,1924,2.5
422,1216.0,San Francisco,San Francisco County,CA,480 Mission Bay Blvd N UNIT 318,2.0,2.0,1650000,1357.0,122891.0,2012,94158,,,0.67,Mission Bay,Crystal C. Injo,Compass,,2012,2.5
423,538.0,San Francisco,San Francisco County,CA,4826 Mission St #4828,3.085964912280702,0.0,2295000,4266.0,2920.0,1952,94112,,,0.67,Cayuga,Adam D. Filly,Compass,,1952,2.5
424,862.0,San Jose,Santa Clara County,CA,483 S Monroe St,3.0,3.0,1299000,1507.0,8884.478927203065,2012,95128,3999,1339226,0.77,West San Jose,Huy Han,KW Silicon City,,2012,
425,909.0,San Francisco,San Francisco County,CA,484 Roosevelt Way,2.0,2.0,1995000,2195.0,2935.0,1908,94114,,,0.67,Buena Vista,Todd Wiley,Compass,Cottage,1908,2.5
426,917.0,Fremont,Alameda County,CA,48977 Manna Grass Ter,4.0,3.0,1838800,2006.0,2696.0,2008,94539,4300,1783078,0.81,East Industrial,Sean Chen,Intero Real Estate Services,,2008,
427,1108.0,San Jose,Santa Clara County,CA,4913 Paseo Olivos,3.0,2.0,1688000,1524.0,6006.0,1962,95130,3850,1748800,0.77,West San Jose,Don Perry,Coldwell Banker Realty,,1962,
428,858.0,Fremont,Alameda County,CA,4925 Folsum Way,4.0,3.0,1460000,1701.0,5998.0,1963,94538,3984,1461100,0.81,Sundale,Maria De La Serna,Tipp Realty at Glen Cove,Contemporary,1963,2.5
429,245.0,San Jose,Santa Clara County,CA,493 Chateau La Salle Dr #493,2.0,2.0,329900,1344.0,8884.478927203065,1980,95111,3399,,0.77,Fairgrounds,Todd Su,,,1980,
430,644.0,San Jose,Santa Clara County,CA,4950 Paseo Tranquillo,3.0,2.0,899000,1395.0,1464.0,1981,95118,3750,909393,0.77,Cambrian Park,GAVIN PLOTKIN,VISMAR REAL ESTATE,,1981,2.000
431,1212.0,San Francisco,San Francisco County,CA,50 Henry St,3.0,2.0,1895000,1564.0,2874.0,1904,94114,4495,,0.67,Duboce Triangle,Tim A. Brown,KW Advisors,"Modern/High Tech,Victorian",1904,2.5
432,376.0,San Francisco,San Francisco County,CA,506-510 Divisadero St,12.0,6.0,2195000,5844.0,2780.0,1895,94117,,,0.67,,Liam Fitzpatrick,Shamrock Real Estate Company,A-Frame,1895,2.5%
433,1007.0,San Jose,Santa Clara County,CA,5068 Tifton Way,4.0,2.0,1450000,1440.0,5950.0,1964,95118,4200,1446500,0.77,Cambrian Park,Mary Pope-Handy,Christie's International Real Estate Sereno,Ranch,1964,
434,965.0,Fremont,Alameda County,CA,5088 Amberwood Dr,4.0,3.0,1699888,1761.0,3920.0,1989,94555,4099,1642100,0.81,Ardenwood,Shilpa Putchakayala,Compass,Contemporary,1989,2.5
435,1039.0,San Jose,Santa Clara County,CA,509 Willow St,2.0,1.0,899000,865.0,3057.0,1929,95125,2949,908242,0.77,Willow Glen,Renee Ross,Compass,,1929,
436,824.0,San Francisco,San Francisco County,CA,51 Innes Ct APT 406,5.0,2.0,1290000,1566.0,0.0,0,94124,4500,,0.67,Hunters Point,Timothy J. McMullen,Real Brokerage Technologies,,0,2
437,642.0,San Francisco,San Francisco County,CA,51 Innes Ct UNIT 402,3.0,2.0,949000,1478.0,0.0,2017,94124,4495,979000,0.67,Hunters Point,Bernadette Troncales Weir,Catalina Realty Investments,Contemporary,2017,2.5
438,228.0,San Jose,Santa Clara County,CA,510 Saddle Brook Dr SPC 119,3.0,2.0,309000,1354.0,8884.478927203065,1997,95136,3679,316174,0.77,Blossom Valley,Chris Truong,,,1997,
439,160.0,San Jose,Santa Clara County,CA,513 Mill Pond Dr,2.0,2.0,279000,1740.0,8884.478927203065,1978,95125,,,0.77,Fairgrounds,Alliance Manufactured Homes,,,1978,
